date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:15:17	137805/137805	---M--	200	added ('OK')	image/png	etag:%2221a4d-65e1a136-be9a593d3ce66cf6;;;%22	https://html.ditsolution.net/echofy/assets/images/Acceuil1/about-thumb.png	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/assets/images/Acceuil1/about-thumb.png	(from https://html.ditsolution.net/echofy/index.html)
22:15:18	408/408	---M--	200	added ('OK')	image/png	etag:%22198-65e1a13a-b694d370a69998e9;;;%22	https://html.ditsolution.net/echofy/assets/images/Acceuil1/section-shape.png	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/assets/images/Acceuil1/section-shape.png	(from https://html.ditsolution.net/echofy/index.html)
22:15:18	866/866	---M--	200	added ('OK')	image/png	etag:%22362-65e1a135-19d2d4eb4a27c253;;;%22	https://html.ditsolution.net/echofy/assets/images/Acceuil1/about-icon-1.png	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/assets/images/Acceuil1/about-icon-1.png	(from https://html.ditsolution.net/echofy/index.html)
22:15:19	815/815	---M--	200	added ('OK')	image/png	etag:%2232f-65e1a136-8d76a22fa5bb2c99;;;%22	https://html.ditsolution.net/echofy/assets/images/Acceuil1/about-icon-2.png	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/assets/images/Acceuil1/about-icon-2.png	(from https://html.ditsolution.net/echofy/index.html)
22:15:19	1441/1441	---M--	200	added ('OK')	image/png	etag:%225a1-65e1a136-1c5233c4c395a3f3;;;%22	https://html.ditsolution.net/echofy/assets/images/Acceuil1/about-shape-1.png	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/assets/images/Acceuil1/about-shape-1.png	(from https://html.ditsolution.net/echofy/index.html)
22:15:19	855/855	---M--	200	added ('OK')	image/png	etag:%22357-65e1a136-53568c5152c7d7bd;;;%22	https://html.ditsolution.net/echofy/assets/images/Acceuil1/about-shape-2.png	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/assets/images/Acceuil1/about-shape-2.png	(from https://html.ditsolution.net/echofy/index.html)
22:15:20	2239/2239	---M--	200	added ('OK')	image/png	etag:%228bf-65e1a13a-5bf31ead52f69fb4;;;%22	https://html.ditsolution.net/echofy/assets/images/Acceuil1/service-icon1.png	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/assets/images/Acceuil1/service-icon1.png	(from https://html.ditsolution.net/echofy/index.html)
22:15:20	11684/11684	---M--	200	added ('OK')	image/jpeg	etag:%222da4-65e1a13a-99de5c2baf2f6d7c;;;%22	https://html.ditsolution.net/echofy/assets/images/Acceuil1/service-1.jpg	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/assets/images/Acceuil1/service-1.jpg	(from https://html.ditsolution.net/echofy/index.html)
22:15:21	2911/2911	---M--	200	added ('OK')	image/png	etag:%22b5f-65e1a13a-1feea50f1b18d325;;;%22	https://html.ditsolution.net/echofy/assets/images/Acceuil1/service-box-shape.png	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/assets/images/Acceuil1/service-box-shape.png	(from https://html.ditsolution.net/echofy/index.html)
22:15:21	2041/2041	---M--	200	added ('OK')	image/png	etag:%227f9-65e1a13a-2229984a53637fd;;;%22	https://html.ditsolution.net/echofy/assets/images/Acceuil1/service-icon2.png	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/assets/images/Acceuil1/service-icon2.png	(from https://html.ditsolution.net/echofy/index.html)
22:15:22	12684/12684	---M--	200	added ('OK')	image/jpeg	etag:%22318c-65e1a13a-83d972c8a8a2d716;;;%22	https://html.ditsolution.net/echofy/assets/images/Acceuil1/service-2.jpg	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/assets/images/Acceuil1/service-2.jpg	(from https://html.ditsolution.net/echofy/index.html)
